Hospital,Tender Reference,Subject,Tendering Procedure,Contractor(s) & Address(es),Item,Contract Period,Estimated Contract Amount,Date of Award
Kowloon Central Cluster,KCC/T/H13/050/25/KWH,"Supply and Installation of Monitors, Physiologic, Multipurpose, Bedside and Monitors, Physiologic, Central Station for Kwong Wah Hospital, Kowloon Central Cluster, Hospital Authority",Open,"Linde HKO Limited 18 Dai Shing Street, Tai Po Industrial Estate New Territories, Hong Kong",-,With effect from the date of Letter of Acceptance to the fulfilment of contractual obligations.,HKD2.96Mn,1-June-2026
New Territories East Cluster,NTEC/P&MM/T3/2526-T3,"Provision of Security Guard Services for Carpark and Road Traffic Management in Prince of Wales Hospital, New Territories East Cluster, Hospital Authority",Open,"China Overseas Property Services Limited Flat A, 19/F, China Overseas Building, 139 Hennessy Road, Wanchai, Hong Kong",-,1 July 2026 - 30 June 2027,HKD2.67Mn,7-May-2026
Hospital Authority Head Office,NPS25-004,Supply of Devices / Accessories / Consumables for Left Atrial Appendage Occlusion under Nominated Product Scheme for Hospital Authority,Open,"Abbott Medical (Hong Kong) Limited Suite 1608, 16/F, Exchange Tower, 33 Wang Chiu Road, Kowloon Bay, Kowloon, Hong Kong",-,1 July 2026 - 30 June 2028,-,8-May-2026
Hospital Authority Head Office,NPS25-004,Supply of Devices / Accessories / Consumables for Left Atrial Appendage Occlusion under Nominated Product Scheme for Hospital Authority,Open,"Boston Scientific Hong Kong Limited Suite 2601-02, 09-11, 26/F, Dorset House, Taikoo Place, Quarry Bay, Hong Kong",-,1 July 2026 - 30 June 2028,-,8-May-2026
Hospital Authority Head Office,NPS25-004,Supply of Devices / Accessories / Consumables for Left Atrial Appendage Occlusion under Nominated Product Scheme for Hospital Authority,Open,"Vena Medical Co., Limited 7/F, The Wave, 4 Hing Yip Street, Kwun Tong, Kowloon, Hong Kong",-,1 July 2026 - 30 June 2028,-,8-May-2026
Hospital Authority Head Office,NPS25-004,Supply of Devices / Accessories / Consumables for Left Atrial Appendage Occlusion under Nominated Product Scheme for Hospital Authority,Open,"Chuang Deyu Medtech Limited G/F., 20D Lo Wai Village, Pui O, Lantau Island, Hong Kong",-,1 July 2026 - 30 June 2028,-,8-May-2026
Hospital Authority Head Office,NPS25-004,Supply of Devices / Accessories / Consumables for Left Atrial Appendage Occlusion under Nominated Product Scheme for Hospital Authority,Open,"King Health Limited Room 1803, 18/F, CRE Centre, 889 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon, Hong Kong",-,1 July 2026 - 30 June 2028,-,8-May-2026
Hospital Authority Head Office,NPS25-004,Supply of Devices / Accessories / Consumables for Left Atrial Appendage Occlusion under Nominated Product Scheme for Hospital Authority,Open,"Shun On Healthcare Limited 9/F, Rykadan Capital Tower, No. 135 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong",-,1 July 2026 - 30 June 2028,-,8-May-2026
Hospital Authority Head Office,HAHO(S)/T/22-D173,Supply of Tamsulosin Hydrochloride Prolonged Release Tablet 0.4mg,Open,"Hind Wing Co Ltd Unit 1103B, 11th Floor, Block B, Seaview Estate, 2-8 Watson Road, North Point, Hong Kong",-,16 October 2026 - 15 October 2029,HKD19.50Mn,8-May-2026
Hospital Authority Head Office,HAHO(S)/T/23-D002,Supply of Aprepitant Capsules in Tri-fold Pack,Open,"Pharmason Company Limited Flat A, B and C1, 16/F, Ever Gain Centre, 28 On Muk Street, Shatin, NT",-,15 October 2026 - 14 October 2029,HKD2.07Mn,8-May-2026
Hospital Authority Head Office,HAHO(S)/T/25-D250,Supply of Paliperidone Prolonged Release Prefilled Syringes,Limited (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Ltd - Healthcare Division 11/F Wyler Centre 1, 202-210 Tai Lin Pai Road, Kwai Chung, Hong Kong",-,11 September 2026 - 10 September 2029,HKD188.40Mn,8-May-2026
Hospital Authority Head Office,HAHO(S)/T/25-D252,Supply of Papaverine Hydrochloride Injection 120mg,Open,"DCH Auriga (Hong Kong) Ltd - Healthcare Division 11/F Wyler Centre 1, 202-210 Tai Lin Pai Road, Kwai Chung, Hong Kong",-,28 August 2026 - 27 August 2028,HKD4.75Mn,8-May-2026
Hospital Authority Head Office,HAHO(S)/T/24-D074,Supply of Levetiracetam Infusion 500mg,Open,"I & C (Hong Kong) Limited Unit 2003, 20/F., K. Wah Centre, 191 Java Road, North Point, Hong Kong",-,30 October 2026 - 29 October 2029,HKD13.29Mn,8-May-2026
Hospital Authority Head Office,HAHO(S)/T/25-D107,Supply of Metformin Hydrochloride Tablet 500mg,Open,"DCH Auriga (Hong Kong) Limited - Healthcare Division 11/F, Wyler Centre 1 202-210 Tai Lin Pai Road Kwai Chung, New Territories",(80% tender quantity),9 November 2026 - 8 November 2029,HKD71.76Mn,8-May-2026
Hospital Authority Head Office,HAHO(S)/T/25-D107,Supply of Metformin Hydrochloride Tablet 500mg,Open,"Pharmason Company Limited 16/F, Ever Gain Centre, 28 On Muk Street, Shatin, Hong Kong",(20% tender quantity),9 November 2026 - 8 November 2029,HKD38.74Mn,8-May-2026
Hospital Authority Head Office,HAHO(S)/T/25-D146,Supply of Flupentixol and Melitracen Tablet,Open,"Zuellig Pharma Limited 5/F, Berkshire House, Taikoo Place 25 Westlands Road Quarry Bay, Hong Kong",-,21 September 2026 - 20 September 2029,HKD5.92Mn,8-May-2026
Hong Kong Island Cluster,1110601474,"Supply and Installation of Video Systems, Endoscopic for Pamela Youde Nethersole Eastern Hospital, Hospital Authority",Open,"(1) Karl Storz Endoscopy China Limited Suite 2503-5, 25/F AXA Tower, Landmark East 100 How Ming Street Kwun Tong, Kowloon (2) Olympus Hong Kong & China Limited 26/F, Tower A, Kowloon Commerce Centre 51 Kwai Cheong Road Kwai Chung, New Territories",-,8 May 2026 - 7 May 2027,(1) HKD2.45 Mn (2) HKD1.35Mn,8-May-2026
Hong Kong Island Cluster,1110620324,"Supply and Installation of Brachytherapy Systems, Remote Afterloading for Pamela Youde Nethersole Eastern Hospital, Hospital Authority",Open,"Elekta Limited Unit 1201-03, 12/F, Railway Plaza, 39 Chatham Road South, Tsim Sha Tsui, Kowloon",-,Commencing on 8 May 2026 and expire upon satisfactory fulfilment of the contract obligation,HKD9.48Mn,8-May-2026
Hospital Authority Head Office,HAHO(S)/T/23-D133,Supply of Acyclovir Oral Suspension 200mg per 5ml,Open,"Hind Wing Company Limited Unit 1103B, 11/F, Block B, Seaview Estate 2-8 Watson Road North Point, Hong Kong",-,22 November 2026 - 21 November 2029,HKD1.40Mn,8-May-2026
Hospital Authority Head Office,HAHO(S)/T/25-D102,Supply of Azathioprine Tablet,Open,"Zuellig Pharma Limited 5/F, Berkshire House, Taikoo Place 25 Westlands Road Quarry Bay, Hong Kong",Item 1,2 August 2026 - 1 August 2028,HKD1.96Mn,8-May-2026
Hospital Authority Head Office,HAHO(S)/T/25-D162,Supply of Trastuzumab Emtansine Infusion 100mg,Limited (Absence of competition for technical reasons),"DKSH Hong Kong Limited 23/F, Tower A, Southmark 11 Yip Hing Street Wong Chuk Hang, Hong Kong",-,6 September 2026 -5 September 2029,HKD186.30Mn,8-May-2026
Hospital Authority Head Office,HAHO(S)/T/25-D199,Supply of Pembrolizumab Infusion 100mg,Limited (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited 5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,30 July 2026 -29 July 2029,"HKD1,584.00Mn",8-May-2026
Hospital Authority Head Office,DSQ25-151,Supply of Selumetinib (Hydrogen Sulphate) Capsule 25mg,Limited (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited 5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,14 May 2026 -13 May 2028,HKD6.00Mn,8-May-2026
Hospital Authority Head Office,DSQ25-200,Supply of Polatuzumab Vedotin (Polivy) Infusion 30mg,Limited (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong Limited 23/F, Tower A, Southmark 11 Yip Hing Street Wong Chuk Hang, Hong Kong",-,3 August 2026 -2 August 2028,HKD62.40Mn,8-May-2026
Hospital Authority Head Office,DSQ25-201,Supply of Lorlatinib Tablet 25mg,Limited (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division 11/F Wyler Centre 1 202-210 Tai Lin Pai Road Kwai Chung, Hong Kong",-,19 July 2026 -18 July 2028,HKD53.52Mn,8-May-2026
